fr,phase,priority,status,size_kb,tier,sections,musts,acs,title
FR-A11Y-001-reduced-motion-fallback,P3,MUST,accepted,20.9,FULL,7/7,20,14,Reduced-motion fallback — 7-panel SVG storyboard at /lite and @media swap inline
FR-A11Y-002-shadow-dom-mirror,P3,MUST,accepted,1.5,THIN,3/7,4,0,Shadow-DOM mirror for Scene 0 — section role=img + aria-labelledby pattern
FR-A11Y-003-skip-story-pill,P3,MUST,accepted,1.2,MINIMAL,3/7,4,0,Skip-story pill (top-right) → jumps to Scene 6
FR-A11Y-004-mute-toggle,P3,MUST,accepted,1.2,MINIMAL,3/7,4,0,Mute toggle (default ON) + localStorage persistence
FR-A11Y-005-skip-3d-toggle,P3,MUST,accepted,1.2,MINIMAL,3/7,4,0,'Skip 3D entirely' toggle in header → /lite redirect
FR-A11Y-006-impl,P5,MUST,accepted,1.1,MINIMAL,3/7,4,0,"Captions for every Lumi line — gold-on-charcoal, 18px min, aria-live polite"
FR-A11Y-007-impl,P5,MUST,accepted,1.0,MINIMAL,3/7,3,0,Keyboard nav cycle — Skip story → header → scene anchors → footer
FR-A11Y-008-impl,P5,MUST,accepted,1.1,MINIMAL,3/7,3,0,"Focus rings — 2 px gold outline + 2 px offset, visible on every interactive"
FR-A11Y-009-impl,P5,MUST,accepted,0.9,MINIMAL,3/7,3,0,Target size 44×44 (AAA) for all CTAs
FR-A11Y-010-impl,P5,MUST,accepted,0.9,MINIMAL,3/7,3,0,Form autofill + Redundant-Entry compliance
FR-A11Y-011-impl,P5,MUST,accepted,1.0,MINIMAL,3/7,4,0,Public /accessibility compliance documentation page
FR-A11Y-012-impl,P5,MUST,accepted,1.0,MINIMAL,3/7,4,0,Full pre-launch axe + manual VO + NVDA audit + fixes
FR-A11Y-013-IMPL,P6,MUST,accepted,1.0,MINIMAL,3/7,4,0,Monthly post-launch axe-core CI scan + quarterly manual review
FR-CHAR-001-lumi-2d-character-sheet,P0,MUST,shipped,21.2,FULL,7/7,11,8,Lumi 2D character sheet — 4 poses + 6 expressions in brand palette
FR-CHAR-002-silhouette-test,P0,MUST,shipped,11.5,FULL,7/7,10,9,Lumi silhouette test at 32×32 px — readability gate vs CyberSkill logo
FR-CHAR-003-nonla-accessory-design,P0,MUST,shipped,15.8,FULL,7/7,13,10,"Nón lá accessory design — exterior red, interior gold lining, single yellow star"
FR-CHAR-004-lumi-greybox,P1,MUST,accepted,13.6,FULL,7/7,13,12,"Lumi greybox mesh — proxy proportions, silhouette pass, no textures"
FR-CHAR-005-per-scene-greybox-sets,P1,MUST,accepted,8.5,FULL,7/7,12,10,"Per-scene greybox sets — props, camera frusta, scene-scale checks"
FR-CHAR-006-production-mesh,P2,MUST,accepted,35.3,FULL,7/7,16,15,Lumi production mesh — ≤ 40k tri watertight; polygon distribution per spec; silhouette parity vs FR-
FR-CHAR-007-uv-layout,P2,MUST,accepted,24.3,FULL,7/7,15,15,Lumi UV layout — locked 2k/1k/512 atlas trio with seam discipline + texel-density floor
FR-CHAR-008-substance-pbr-textures,P2,MUST,accepted,23.1,FULL,7/7,14,16,Substance Painter PBR textures — BaseColor / ORM-packed / Normal / Emissive at locked 2k
